FormatID,8,0,1,0
STD,8,8,1,0
STR,8,16,1,0
Vbat,7,24,0.1,+5
HIT,10,31,0.1,-40
GNSSYear,5,41,1,+2020
GNSSMonth,4,46,1,0
GNSSDay,6,50,1,0
GNSSHour,5,56,1,0
GNSSMinute,6,61,1,0
GNSSSecond,6,67,1,0
GNSSLatitude,25,73,0.00001,-90
GNSSLongitude,26,98,0.00001,0
GNSSSatNum,5,124,1,0
GNSSHDOP,6,129,0.1,0
GNSSTTFF,6,135,2,0
T1,13,141,0.01,-40
T2,13,154,0.01,-40
T3,13,167,0.01,-40
T4,13,180,0.01,-40
T5,13,193,0.01,-40
T6,13,206,0.01,-40
T7,13,219,0.01,-40
T8,13,232,0.01,-40
T9,13,245,0.01,-40
T10,13,258,0.01,-40
T11,13,271,0.01,-40
T12,13,284,0.01,-40
T13,13,297,0.01,-40
T14,13,310,0.01,-40
T15,13,323,0.01,-40
T16,13,336,0.01,-40
T17,13,349,0.01,-40
T18,13,362,0.01,-40
T19,13,375,0.01,-40
T20,13,388,0.01,-40
T21,13,401,0.01,-40
T22,13,414,0.01,-40
T23,13,427,0.01,-40
T24,13,440,0.01,-40
T25,13,453,0.01,-40
T26,13,466,0.01,-40
T27,13,479,0.01,-40
T28,13,492,0.01,-40
T29,13,505,0.01,-40
T30,13,518,0.01,-40
T31,13,531,0.01,-40
T32,13,544,0.01,-40
